Macrotrends Data Download

U.S. Crude Oil Reserves - 110 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1900-12-01,2900.0000
1901-12-01,3000.0000
1902-12-01,3200.0000
1903-12-01,3400.0000
1904-12-01,3600.0000
1905-12-01,3800.0000
1906-12-01,3800.0000
1907-12-01,3900.0000
1908-12-01,4000.0000
1909-12-01,4200.0000
1910-12-01,4500.0000
1911-12-01,5000.0000
1912-12-01,5400.0000
1913-12-01,5500.0000
1914-12-01,5400.0000
1915-12-01,5500.0000
1916-12-01,5900.0000
1917-12-01,5900.0000
1918-12-01,6200.0000
1919-12-01,6700.0000
1920-12-01,7200.0000
1921-12-01,7800.0000
1922-12-01,7600.0000
1923-12-01,7600.0000
1924-12-01,7500.0000
1925-12-01,8500.0000
1926-12-01,8800.0000
1927-12-01,10500.0000
1928-12-01,11000.0000
1929-12-01,13200.0000
1930-12-01,13600.0000
1931-12-01,13000.0000
1932-12-01,12300.0000
1933-12-01,12000.0000
1934-12-01,12177.0000
1935-12-01,12400.0000
1936-12-01,13063.0000
1937-12-01,15507.0000
1938-12-01,17348.0000
1939-12-01,18483.0000
1940-12-01,19025.0000
1941-12-01,19559.0000
1942-12-01,20083.0000
1943-12-01,20064.0000
1944-12-01,20453.0000
1945-12-01,20827.0000
1946-12-01,20874.0000
1947-12-01,21488.0000
1948-12-01,23280.0000
1949-12-01,24649.0000
1950-12-01,25268.0000
1951-12-01,27468.0000
1952-12-01,27961.0000
1953-12-01,28945.0000
1954-12-01,29561.0000
1955-12-01,30012.0000
1956-12-01,30435.0000
1957-12-01,30300.0000
1958-12-01,30536.0000
1959-12-01,31719.0000
1960-12-01,31613.0000
1961-12-01,31759.0000
1962-12-01,31389.0000
1963-12-01,30970.0000
1964-12-01,30991.0000
1965-12-01,31352.0000
1966-12-01,31452.0000
1967-12-01,31377.0000
1968-12-01,30707.0000
1969-12-01,29632.0000
1970-12-01,39001.0000
1971-12-01,38063.0000
1972-12-01,36339.0000
1973-12-01,35300.0000
1974-12-01,32250.0000
1975-12-01,32682.0000
1976-12-01,30942.0000
1977-12-01,31780.0000
1978-12-01,31355.0000
1979-12-01,29810.0000
1980-12-01,29805.0000
1981-12-01,29426.0000
1982-12-01,27858.0000
1983-12-01,27735.0000
1984-12-01,28446.0000
1985-12-01,28416.0000
1986-12-01,26889.0000
1987-12-01,27256.0000
1988-12-01,26825.0000
1989-12-01,26501.0000
1990-12-01,26254.0000
1991-12-01,24682.0000
1992-12-01,23745.0000
1993-12-01,22957.0000
1994-12-01,22457.0000
1995-12-01,22351.0000
1996-12-01,22017.0000
1997-12-01,22546.0000
1998-12-01,21034.0000
1999-12-01,21765.0000
2000-12-01,22045.0000
2001-12-01,22446.0000
2002-12-01,22677.0000
2003-12-01,21891.0000
2004-12-01,21371.0000
2005-12-01,21757.0000
2006-12-01,20972.0000
2007-12-01,21317.0000
2008-12-01,19121.0000
2009-12-01,20682.0000
2010-12-01,23267.0000
2011-12-01,26544.0000
2012-12-01,30529.0000
2013-12-01,33371.0000
2014-12-01,36385.0000
